型号,库存量
1-174952-1,450
1-174936-1,1700
1-174931-1,636
1-174930-1,119
1-174928-1,2400
368502-1,3200
174933-1,17500
368540-1,2000
J11DF-06V-KX,2119
J11DFM-06V-KX,458
J11DF-08V-KX,1260
J11DF-12V-KX,297
J11DFM-12V-KX,424
J11DF-20V-KX,1348
SF1F-21T-P0.6,10000
CP01102010  2P,18900
CP01100104,40000
1123721-1,36000
1-1123722-6,12000
1-1123722-4,4000
1-480698-0,481
1-480699-0,4440
1-480700-0,2506
1-480701-0,2968
1-480702-0,1566
1-480703-0,1245
1-480704-0,911
1-480709-0,334
1-640415-1,3180
0-0350536-3,25000
350570-3,2680
3-640426-2,1950
643071-2,3838
770377-1,2045
172773-1,3500
XH-2P,890
XH-6P,1710
XH-10P,646
EHR-4,956
VHR-3N,3528
VHR-6N,2315
173631-1,152000
RST-130V0,15000
1-174933-1,250
SZH-002T-P0.5,大约半盘
750294-3,4000
640252-1,约6K+
SPH-002T-P0.5S,8000
730292-3,约4K
1-174921-1,2100
170361-1,约5K+
CI0608M1HR0-LF,700
CP01104010,1900
CP01108010,2000
CI5106P1V00,3400
CI5103P1VP2,2900
CI5208P1V00,500
350779-4,2000
174923-1,1500
PHR-3,980
PHR-4,900
172501-1,1000
643071-4,230
SMR-02V-N,894
EC156F-3-D,480
CE156F20-2-D,397